,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_preprocessing__bow__ngram_range,param_select__percentile,param_clf__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
146,0,30,0.40379929542541504,0.05301121333993834,0.06520023345947265,0.019681081567662222,SVC(random_state=0),,"(1, 3)",80,,"{'clf': SVC(random_state=0), 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 80}",0.8333333333333334,0.5,0.5,0.5,0.4,0.5466666666666666,0.14847371634213394,119,0.6521739130434783,0.6086956521739131,0.7391304347826086,0.5217391304347826,0.7083333333333334,0.6460144927536232,0.07671924993265343
93,0,30,0.8092677116394043,0.06062962377934003,0.125000524520874,0.03327392578538283,RandomForestClassifier(random_state=0),,"(1, 2)",40,gini,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'gini', 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 40}",0.8333333333333334,0.5,0.5,0.5,0.4,0.5466666666666666,0.14847371634213394,119,1.0,1.0,1.0,1.0,1.0,1.0,0.0
138,0,30,0.40799927711486816,0.026222251479634105,0.06680045127868653,0.019732633402311947,SVC(random_state=0),,"(1, 2)",70,,"{'clf': SVC(random_state=0), 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 70}",0.8333333333333334,0.5,0.5,0.5,0.4,0.5466666666666666,0.14847371634213394,119,0.6521739130434783,0.6086956521739131,0.6956521739130435,0.5217391304347826,0.6666666666666666,0.6289855072463768,0.06052351599368434
129,0,30,0.3700037956237793,0.029771798760360783,0.07059612274169921,0.02499823076429155,SVC(random_state=0),,"(1, 1)",50,,"{'clf': SVC(random_state=0), 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 50}",0.8333333333333334,0.5,0.5,0.5,0.4,0.5466666666666666,0.14847371634213394,119,0.6521739130434783,0.6086956521739131,0.6956521739130435,0.5217391304347826,0.6666666666666666,0.6289855072463768,0.06052351599368434
137,0,30,0.3933999061584473,0.0192728975182772,0.06879987716674804,0.023344182372389048,SVC(random_state=0),,"(1, 2)",60,,"{'clf': SVC(random_state=0), 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 60}",0.8333333333333334,0.5,0.5,0.5,0.4,0.5466666666666666,0.14847371634213394,119,0.6521739130434783,0.6086956521739131,0.6956521739130435,0.5217391304347826,0.7083333333333334,0.6373188405797101,0.06759358763734206
99,0,30,0.9835999488830567,0.11832042097890794,0.14839959144592285,0.03693029118029874,RandomForestClassifier(random_state=0),,"(1, 3)",30,gini,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'gini', 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 30}",0.8333333333333334,0.5,0.5,0.5,0.4,0.5466666666666666,0.14847371634213394,119,1.0,1.0,1.0,1.0,1.0,1.0,0.0
101,0,30,0.9422361373901367,0.06875540538596564,0.14199981689453126,0.05519695171317004,RandomForestClassifier(random_state=0),,"(1, 3)",50,gini,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'gini', 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 50}",0.8333333333333334,0.5,0.5,0.5,0.4,0.5466666666666666,0.14847371634213394,119,1.0,1.0,1.0,1.0,1.0,1.0,0.0
119,0,30,0.851201057434082,0.06098284399813116,0.12539963722229003,0.03287369310824836,RandomForestClassifier(random_state=0),,"(1, 3)",20,entropy,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'entropy', 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 20}",0.8333333333333334,0.5,0.5,0.5,0.4,0.5466666666666666,0.14847371634213394,119,1.0,1.0,1.0,1.0,1.0,1.0,0.0
168,1,90,1.7694215774536133,0.4941191475502441,0.4424002647399902,0.07446736709903061,"LogisticRegression(C=1, random_state=0)",0.75,"(1, 1)",40,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.75, 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 40}",0.6666666666666666,0.6111111111111112,0.5555555555555556,0.2777777777777778,0.5882352941176471,0.5398692810457517,0.13596342292329552,134,1.0,1.0,1.0,1.0,1.0,1.0,0.0
159,1,90,1.7405998229980468,0.479292202301782,0.403645658493042,0.0753402743352515,"LogisticRegression(C=1, random_state=0)",0.5,"(1, 1)",40,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.5, 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 40}",0.6666666666666666,0.6111111111111112,0.5555555555555556,0.2777777777777778,0.5882352941176471,0.5398692810457517,0.13596342292329552,134,1.0,1.0,1.0,1.0,1.0,1.0,0.0
